iter	Passed	Remaining
0	3	326
1	5	273
2	7	235
3	9	219
4	10	201
5	12	190
6	13	182
7	18	215
8	20	206
9	22	200
10	23	192
11	25	186
12	27	181
13	31	195
14	33	189
15	35	186
16	37	181
17	39	178
18	41	175
19	45	182
20	47	180
21	49	174
22	50	169
23	52	165
24	54	162
25	55	159
26	58	158
27	61	158
28	63	154
29	65	152
30	67	150
31	71	152
32	74	151
33	76	148
34	79	148
35	116	207
36	119	203
37	128	209
38	130	204
39	133	200
40	135	195
41	137	190
42	140	185
43	141	179
44	145	177
45	147	172
46	149	168
47	151	164
48	155	161
49	156	156
50	158	152
51	159	147
52	161	143
53	163	139
54	168	137
55	169	133
56	170	128
57	172	124
58	174	121
59	177	118
60	182	116
61	183	112
62	185	108
63	186	104
64	188	101
65	190	98
66	192	95
67	195	91
68	196	88
69	197	84
70	199	81
71	201	78
72	203	75
73	206	72
74	207	69
75	209	66
76	210	62
77	212	60
78	214	56
79	216	54
80	218	51
81	220	48
82	222	45
83	223	42
84	225	39
85	228	37
86	231	34
87	232	31
88	234	29
89	236	26
90	238	23
91	241	20
92	243	18
93	245	15
94	247	13
95	249	10
96	250	7
97	252	5
98	257	2
99	259	0
